timestamp,open,high,low,close,volume
1779044040000,78205.15000000,78205.16000000,78198.36000000,78198.37000000,1.21763000
1779044100000,78198.36000000,78233.41000000,78198.36000000,78232.05000000,2.18684000
1779044160000,78232.04000000,78232.05000000,78220.00000000,78220.00000000,1.21073000
1779044220000,78220.01000000,78271.59000000,78220.00000000,78244.01000000,16.15227000
1779044280000,78244.01000000,78244.01000000,78231.07000000,78239.30000000,8.60732000
1779044340000,78239.29000000,78271.59000000,78239.29000000,78268.05000000,7.71787000
1779044400000,78268.04000000,78275.80000000,78267.28000000,78275.80000000,0.76622000
1779044460000,78275.79000000,78275.79000000,78250.17000000,78250.17000000,2.30227000
1779044520000,78250.18000000,78281.55000000,78250.17000000,78277.46000000,4.28160000
1779044580000,78277.46000000,78277.47000000,78251.44000000,78251.44000000,2.38947000
1779044640000,78251.45000000,78275.79000000,78225.40000000,78275.79000000,25.17681000
1779044700000,78275.79000000,78275.80000000,78256.93000000,78256.93000000,4.77349000
1779044760000,78256.93000000,78260.29000000,78246.43000000,78260.29000000,3.27443000
1779044820000,78260.29000000,78273.27000000,78260.29000000,78273.26000000,0.91755000
1779044880000,78273.27000000,78298.00000000,78273.26000000,78281.47000000,2.51067000
1779044940000,78281.47000000,78281.47000000,78262.57000000,78262.58000000,1.11935000
1779045000000,78262.57000000,78262.57000000,78238.33000000,78241.34000000,3.46993000
1779045060000,78241.34000000,78245.28000000,78241.34000000,78245.28000000,0.29134000
1779045120000,78245.28000000,78245.28000000,78240.55000000,78240.56000000,1.77568000
1779045180000,78240.56000000,78243.56000000,78240.55000000,78243.55000000,2.21456000
1779045240000,78243.56000000,78262.91000000,78243.55000000,78262.91000000,11.78292000
1779045300000,78262.90000000,78262.91000000,78244.77000000,78244.77000000,0.90014000
1779045360000,78244.77000000,78259.88000000,78244.77000000,78255.54000000,0.69875000
1779045420000,78255.55000000,78255.55000000,78247.97000000,78247.97000000,0.82794000
1779045480000,78247.98000000,78247.98000000,78247.97000000,78247.97000000,0.41987000
1779045540000,78247.97000000,78247.98000000,78247.97000000,78247.97000000,0.28307000
1779045600000,78247.97000000,78247.98000000,78244.78000000,78244.79000000,0.56579000
1779045660000,78244.78000000,78259.59000000,78244.78000000,78259.59000000,3.12789000
1779045720000,78259.58000000,78275.81000000,78259.58000000,78275.81000000,0.86824000
1779045780000,78275.80000000,78300.00000000,78275.80000000,78280.67000000,2.55183000
1779045840000,78280.67000000,78280.67000000,78233.03000000,78233.03000000,9.30665000
1779045900000,78233.04000000,78247.98000000,78233.04000000,78242.11000000,1.58776000
1779045960000,78242.12000000,78246.63000000,78242.11000000,78246.63000000,1.73229000
1779046020000,78246.63000000,78246.63000000,78240.24000000,78240.24000000,0.66587000
1779046080000,78240.25000000,78243.77000000,78229.75000000,78243.77000000,3.83553000
1779046140000,78243.77000000,78243.77000000,78228.17000000,78228.18000000,6.85514000
1779046200000,78228.17000000,78238.31000000,78228.17000000,78238.31000000,0.42861000
1779046260000,78238.30000000,78238.31000000,78238.30000000,78238.31000000,0.13748000
1779046320000,78238.30000000,78241.18000000,78238.30000000,78241.17000000,0.49380000
1779046380000,78241.18000000,78241.18000000,78235.98000000,78235.98000000,1.15164000
1779046440000,78235.99000000,78235.99000000,78228.17000000,78228.17000000,5.53596000
1779046500000,78228.17000000,78228.18000000,78209.96000000,78223.21000000,9.32005000
1779046560000,78223.21000000,78243.37000000,78223.20000000,78243.37000000,0.61154000
1779046620000,78243.36000000,78243.37000000,78243.36000000,78243.36000000,0.22858000
1779046680000,78243.36000000,78250.00000000,78243.36000000,78249.99000000,0.54460000
1779046740000,78250.00000000,78298.58000000,78249.99000000,78298.57000000,4.81726000
1779046800000,78298.58000000,78381.31000000,78298.57000000,78363.80000000,15.09330000
1779046860000,78363.81000000,78363.81000000,78352.10000000,78356.39000000,1.92953000
1779046920000,78356.40000000,78420.32000000,78352.94000000,78380.05000000,11.62408000
1779046980000,78380.05000000,78387.11000000,78380.04000000,78386.09000000,2.37764000
1779047040000,78386.09000000,78387.11000000,78383.92000000,78383.93000000,1.88783000
1779047100000,78383.92000000,78383.93000000,78354.01000000,78354.01000000,3.60258000
1779047160000,78354.02000000,78363.12000000,78354.01000000,78363.12000000,2.84688000
1779047220000,78363.12000000,78414.79000000,78363.12000000,78408.11000000,3.99585000
1779047280000,78408.11000000,78427.30000000,78404.57000000,78421.87000000,2.09707000
1779047340000,78421.86000000,78431.44000000,78413.00000000,78431.44000000,2.23670000
1779047400000,78431.44000000,78452.00000000,78431.44000000,78451.99000000,12.30472000
1779047460000,78451.99000000,78468.46000000,78451.99000000,78454.72000000,3.78833000
1779047520000,78454.73000000,78454.73000000,78452.28000000,78452.29000000,1.33779000
1779047580000,78452.29000000,78467.74000000,78452.28000000,78467.73000000,1.44329000
1779047640000,78467.74000000,78467.74000000,78419.39000000,78419.39000000,11.28652000
1779047700000,78419.40000000,78419.40000000,78394.18000000,78400.00000000,3.14209000
1779047760000,78400.00000000,78400.00000000,78399.99000000,78400.00000000,0.28973000
1779047820000,78400.00000000,78400.00000000,78399.99000000,78399.99000000,0.72199000
1779047880000,78399.99000000,78400.00000000,78399.99000000,78399.99000000,0.38725000
1779047940000,78399.99000000,78427.71000000,78383.07000000,78415.30000000,18.38709000
1779048000000,78415.29000000,78430.00000000,78415.29000000,78430.00000000,1.33039000
1779048060000,78430.00000000,78435.32000000,78429.99000000,78435.31000000,1.40925000
1779048120000,78435.31000000,78435.32000000,78410.25000000,78410.26000000,3.89186000
1779048180000,78410.25000000,78410.25000000,78389.89000000,78389.89000000,3.39805000
1779048240000,78389.89000000,78389.90000000,78368.78000000,78389.89000000,3.82955000
1779048300000,78389.89000000,78389.90000000,78389.89000000,78389.90000000,0.25421000
1779048360000,78389.89000000,78389.90000000,78377.12000000,78377.13000000,3.68732000
1779048420000,78377.13000000,78377.13000000,78349.07000000,78349.07000000,4.19072000
1779048480000,78349.08000000,78349.08000000,78349.07000000,78349.08000000,0.39619000
1779048540000,78349.08000000,78349.08000000,78349.07000000,78349.08000000,0.36891000
1779048600000,78349.07000000,78349.07000000,78337.11000000,78337.11000000,1.48029000
1779048660000,78337.11000000,78361.88000000,78332.43000000,78361.87000000,4.20646000
1779048720000,78361.87000000,78364.00000000,78361.87000000,78363.99000000,0.85752000
1779048780000,78363.99000000,78364.00000000,78351.74000000,78357.58000000,4.62156000
1779048840000,78357.58000000,78357.58000000,78341.07000000,78341.07000000,3.78554000
1779048900000,78341.07000000,78341.08000000,78335.50000000,78337.45000000,1.19965000
1779048960000,78337.45000000,78337.45000000,78319.22000000,78322.98000000,5.66365000
1779049020000,78322.99000000,78346.93000000,78322.98000000,78332.10000000,1.92861000
1779049080000,78332.09000000,78332.10000000,78326.28000000,78326.28000000,1.52004000
1779049140000,78326.28000000,78326.28000000,78300.00000000,78300.01000000,4.17300000
1779049200000,78300.00000000,78300.01000000,78248.80000000,78248.81000000,8.25103000
1779049260000,78248.81000000,78303.31000000,78248.81000000,78290.38000000,12.15848000
1779049320000,78290.38000000,78290.38000000,78281.49000000,78281.49000000,2.08840000
1779049380000,78281.49000000,78291.24000000,78281.49000000,78291.23000000,0.94599000
1779049440000,78291.23000000,78299.06000000,78283.06000000,78283.06000000,3.96579000
1779049500000,78283.07000000,78296.15000000,78283.06000000,78296.14000000,1.00357000
1779049560000,78296.15000000,78296.15000000,78286.96000000,78286.97000000,1.92878000
